NAME,STATUS,WATERSHED,COUNCIL_DI,PRIMARY_FE,SW_TREE_TR,SW_PLANTER,SW_BUMPOUT,RAIN_GARDE,SW_BASIN,INFILTRATI,POROUS_PAV,SWALE,SW_WETLAND,CISTERN_RA,GREEN_ROOF,OTHER,LINK,LONGITUDE,LATITUDE,LINK_1,LINK_2,LAT,LNG
William Gray Youth Center,In Construction,Delaware,5,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.15351653,39.97737725,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9773853187,-75.1535182963
William Dick Elementary,In Construction,Delaware,5,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.17365642,39.98614282,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9861508872,-75.1736582001
William Cramp School,In Construction,Delaware,7,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.12996617,40.00252018,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0025282519,-75.1299679303
William Cramp School,In Design,Delaware,7,Other, , , , , , , , , , , , ,alt,-75.12996442,40.00256545,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,40.0025735264,-75.1299661832
"Westmoreland, C, D, Ontario (Mckinley Playground)",In Construction, ,7,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.12174071,39.99996893,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9999770037,-75.1217424668
Westmoreland and Tulip,In Design,Delaware,1,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.1060731,39.99139343,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9914015009,-75.1060748516
West Mill Creek Playground Tennis Courts,In Design,Schuylkill,3,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.2250356,39.96916215,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,39.9691702207,-75.2250373933
West Mill Creek Farm Swales,Constructed,Schuylkill,3,Rain Garden, , , ,1 Rain Garden, , , ,1 Swale, , , , ,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/mill_creek_farm,-75.21939139,39.96632177,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9663298367,-75.2193931785
Welsh School,In Construction,Delaware,7,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.13966542,39.98677127,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9867793405,-75.1396671837
Weinberg Park,In Planning,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , ,1 Swale, , , , ,alt,-75.15648538,39.92122193,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9212299859,-75.1564871502
Weccacoe Playground,In Design,Delaware,1,Rain Garden, , , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.15075314,39.93802317,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,39.9380312286,-75.1507549088
Wayne Ave and Abbottsford Ave,In Design,TTF,8,Infiltration/Storage Trench, , , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.16494662,40.02390355,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/infiltration_storage_trench,40.023911631,-75.1649483975
Warrington - 54th to 55th,In Design,Cobbs-Darby,3,Stormwater Bumpout, , ,1 Stormwater Bumpout, , , , , , , , , ,alt,-75.22619763,39.94139158,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_bumpout,39.9413996427,-75.2261994226
Wakisha Charter School,In Construction,Delaware,5,Stormwater Tree Trench,3 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.15082757,39.97488314,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9748912124,-75.1508293401
Wakefield Park,Constructed,TTF,8,Rain Garden, , , ,2 Rain Gardens, , , , , , , , ,alt,-75.15067017,40.03342406,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0334321375,-75.1506719368
Wagner Louis Middle School,In Design,TTF,8,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.14769065,40.05172939,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0517374769,-75.1476924183
Vernon Park,In Design,TTF,8,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.176712,40.03581067,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0358187499,-75.1767137806
